11109;AQUARE;99;BUETTE;AQUARELL283;AQ.BÜTTEN 283 RAUH 300G;283 NATURWEISS;;50X65CMSB;BG;0.10;1.81;50.00;1.58;500.00;1.47;1000.00;0.00;0.00;0.00;0.00;O;0.00;48025890
11108;AQUARE;99;BUETTE;AQUARELL293;AQ.BÜTTEN 293 MATT 300G;293 NATURWEISS;300g 50x65cm SB;50X65CMSB;BG;0.10;2.26;1.00;1.81;50.00;1.58;500.00;1.47;1000.00;1.41;0.00;H;0.00;48025890
21847;AQUARE;99;BUETTE;AQUARELL810;AQ.AKADEMIE 810 BAMBOO 265G;810 NATURWEISS;;100X70CMBB;BG;0.19;2.56;100.00;2.24;500.00;2.08;0.00;0.00;0.00;0.00;0.00;O;0.00;48025890
21845;AQUARE;99;BUETTE;AQUARELL967;AQ.AKADEMIE 967 MATT 300G;967 NATURWEISS;;100X70CMBB;BG;0.21;2.56;100.00;2.24;500.00;2.08;1000.00;0.00;0.00;0.00;0.00;O;0.00;48025890
18158;AQUARE;99;BUETTE;AQUARELL995;AQ.AKADEMIE 995 H'WEISS 150G;995 HOCHWEISS;;100X70CMBB;BG;0.10;1.47;100.00;1.29;500.00;0.00;0.00;0.00;0.00;0.00;0.00;O;0.00;48025890
21844;AQUARE;99;BUETTE;AQUARELL997;AQ.AKADEMIE 997 NATURW. 150G;997 NATURWEISS;;100X70CMBB;BG;0.10;1.47;100.00;1.29;500.00;0.00;0.00;0.00;0.00;0.00;0.00;O;0.00;48025890
12374;ARBHIL;0;MASCHI;HANDSPINDELHS4;HANDSPINDELPRESSE HS4;;;;STK;4.20;142.31;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;O;1.00;84798100
12411;ARBHIL;1;MASCHI;HANDSPECKENEINGR;ECKENEINPRESSWERKZEUG GROSS;;;;STK;0.10;215.12;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;O;0.00;82079030
18026;ARBHIL;1;MASCHI;HANDSPECKENEINKL;ECKENEINPRESSWERKZEUG KLEIN;;;;STK;0.10;215.12;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;O;0.00;82079030
14391;ARBHIL;1;MASCHI;HANDSPNIET00;NIETENEINPRESSWERKZ.00 OT & UT;;;;STK;0.10;102.45;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;O;0.00;
15236;ARBHIL;1;MASCHI;HANDSPNIET01;NIETENEINPRESSWERKZ.01 OT & UT;;;;STK;0.10;102.45;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;O;0.00;82079030
19006;ARBHIL;1;MASCHI;HANDSPNIET1D;NIETENEINPRESSWERKZ.1D OT & UT;;;;STK;0.10;109.18;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;O;0.00;82079030
